order_id,product_id,seller_id,quantity,unit_price,line_total
ORD0000000,PRD000222,SLR00070,2,738.55,1477.1
ORD0000001,PRD000719,SLR00258,2,565.07,1130.14
ORD0000001,PRD001402,SLR00548,1,728.8,728.8
ORD0000001,PRD000321,SLR00224,1,237.21,237.21
ORD0000001,PRD000678,SLR00391,1,286.46,286.46
ORD0000002,PRD000329,SLR00591,2,1128.36,2256.72
ORD0000003,PRD001236,SLR00585,3,491.23,1473.69
ORD0000004,PRD000664,SLR00372,1,552.83,552.83
ORD0000005,PRD001054,SLR00160,1,371.59,371.59
ORD0000006,PRD001338,SLR00363,2,835.93,1671.86
ORD0000006,PRD000918,SLR00151,1,655.36,655.36
ORD0000007,PRD001065,SLR00496,1,641.66,641.66
ORD0000008,PRD000701,SLR00377,1,1037.57,1037.57
ORD0000008,PRD000640,SLR00187,1,1021.8,1021.8
ORD0000008,PRD000408,SLR00393,1,363.02,363.02
ORD0000009,PRD000988,SLR00145,1,290.89,290.89
ORD0000010,PRD000302,SLR00536,1,339.28,339.28
ORD0000010,PRD000523,SLR00230,1,1213.05,1213.05
ORD0000011,PRD000925,SLR00131,1,900.87,900.87
ORD0000011,PRD001188,SLR00449,1,246.6,246.6
ORD0000011,PRD000926,SLR00356,1,578.88,578.88
ORD0000012,PRD000823,SLR00175,1,1875.49,1875.49
ORD0000012,PRD000509,SLR00047,1,889.74,889.74
ORD0000012,PRD000731,SLR00035,3,183.75,551.25
ORD0000013,PRD000385,SLR00115,1,1724.65,1724.65
ORD0000013,PRD000122,SLR00304,2,1795.86,3591.72
ORD0000014,PRD001221,SLR00251,1,420.81,420.81
ORD0000014,PRD000419,SLR00198,1,145.44,145.44
ORD0000015,PRD000009,SLR00259,1,944.26,944.26
ORD0000016,PRD000985,SLR00495,2,511.71,1023.42
ORD0000016,PRD001103,SLR00501,1,721.34,721.34
ORD0000017,PRD001099,SLR00557,2,730.63,1461.26
ORD0000018,PRD001323,SLR00020,2,261.45,522.9
ORD0000019,PRD000449,SLR00402,1,1971.23,1971.23
ORD0000020,PRD001117,SLR00314,1,424.11,424.11
ORD0000020,PRD000877,SLR00121,1,1065.12,1065.12
ORD0000020,PRD000589,SLR00035,1,450.86,450.86
ORD0000021,PRD000661,SLR00475,1,715.66,715.66
ORD0000022,PRD001244,SLR00498,1,869.17,869.17
ORD0000022,PRD001156,SLR00430,2,799.95,1599.9
ORD0000023,PRD001392,SLR00271,3,1501.81,4505.43
ORD0000024,PRD000537,SLR00448,1,270.66,270.66
ORD0000025,PRD000792,SLR00418,3,176.54,529.62
ORD0000025,PRD001034,SLR00063,1,833.29,833.29
ORD0000025,PRD000225,SLR00249,2,1201.45,2402.9
ORD0000026,PRD000708,SLR00118,1,154.0,154.0
ORD0000026,PRD001194,SLR00512,1,735.25,735.25
ORD0000027,PRD000732,SLR00008,1,183.98,183.98
ORD0000027,PRD000977,SLR00306,1,379.01,379.01
ORD0000028,PRD000187,SLR00537,2,289.34,578.68
ORD0000029,PRD000373,SLR00516,1,841.75,841.75
ORD0000030,PRD000714,SLR00349,2,971.03,1942.06
ORD0000030,PRD001095,SLR00421,1,122.81,122.81
ORD0000030,PRD000145,SLR00124,1,307.27,307.27
ORD0000031,PRD001460,SLR00220,1,879.32,879.32
ORD0000031,PRD001004,SLR00512,1,949.35,949.35
ORD0000032,PRD000825,SLR00090,1,355.23,355.23
ORD0000033,PRD001020,SLR00138,1,958.81,958.81
ORD0000033,PRD000436,SLR00506,2,526.72,1053.44
ORD0000033,PRD000993,SLR00025,1,328.79,328.79
ORD0000034,PRD000822,SLR00066,1,696.67,696.67
ORD0000035,PRD000693,SLR00356,1,1696.84,1696.84
ORD0000036,PRD001135,SLR00017,1,439.35,439.35
ORD0000037,PRD000051,SLR00393,1,948.38,948.38
ORD0000038,PRD000266,SLR00418,1,932.45,932.45
ORD0000038,PRD001149,SLR00156,1,1114.7,1114.7
ORD0000039,PRD000758,SLR00397,1,324.51,324.51
ORD0000039,PRD000029,SLR00317,1,626.31,626.31
ORD0000040,PRD000285,SLR00560,1,1048.96,1048.96
ORD0000041,PRD000386,SLR00563,1,792.36,792.36
ORD0000041,PRD000930,SLR00328,1,277.44,277.44
ORD0000042,PRD001204,SLR00564,1,1147.9,1147.9
ORD0000043,PRD000179,SLR00571,1,1227.18,1227.18
ORD0000043,PRD000367,SLR00347,1,337.72,337.72
ORD0000043,PRD000662,SLR00228,1,818.79,818.79
ORD0000044,PRD001070,SLR00171,3,1576.92,4730.76
ORD0000045,PRD001083,SLR00354,1,650.74,650.74
ORD0000046,PRD000077,SLR00529,1,574.17,574.17
ORD0000046,PRD000974,SLR00452,3,548.25,1644.75
ORD0000047,PRD000375,SLR00149,3,1366.52,4099.56
ORD0000048,PRD001054,SLR00160,2,371.59,743.18
ORD0000048,PRD000087,SLR00182,1,2187.15,2187.15
ORD0000049,PRD001441,SLR00511,3,433.34,1300.02
ORD0000050,PRD000497,SLR00067,3,1082.63,3247.89
ORD0000051,PRD000979,SLR00264,1,372.42,372.42
ORD0000052,PRD000844,SLR00120,1,821.39,821.39
ORD0000052,PRD000472,SLR00507,1,1289.04,1289.04
ORD0000052,PRD000352,SLR00128,1,143.07,143.07
ORD0000053,PRD001278,SLR00394,1,710.45,710.45
ORD0000053,PRD000682,SLR00035,1,2365.83,2365.83
ORD0000053,PRD001433,SLR00356,2,160.1,320.2
ORD0000053,PRD001172,SLR00328,1,1200.09,1200.09
ORD0000054,PRD001144,SLR00436,1,443.14,443.14
ORD0000055,PRD001135,SLR00017,1,439.35,439.35
ORD0000055,PRD000727,SLR00223,2,1812.84,3625.68
ORD0000055,PRD000763,SLR00540,2,229.9,459.8
ORD0000056,PRD000190,SLR00361,1,1043.69,1043.69
ORD0000056,PRD000745,SLR00369,2,117.74,235.48
ORD0000057,PRD000621,SLR00465,2,659.16,1318.32
ORD0000058,PRD000494,SLR00034,1,2081.04,2081.04
ORD0000059,PRD000704,SLR00491,1,1226.62,1226.62
ORD0000060,PRD001026,SLR00499,1,449.14,449.14
ORD0000060,PRD000732,SLR00008,2,183.98,367.96
ORD0000061,PRD000731,SLR00035,1,183.75,183.75
ORD0000062,PRD000367,SLR00347,1,337.72,337.72
ORD0000063,PRD001151,SLR00455,1,566.09,566.09
ORD0000063,PRD000439,SLR00030,1,519.48,519.48
ORD0000063,PRD000189,SLR00288,1,552.95,552.95
ORD0000063,PRD000186,SLR00335,1,1143.19,1143.19
ORD0000064,PRD000673,SLR00368,1,680.18,680.18
ORD0000064,PRD001335,SLR00231,1,98.82,98.82
ORD0000065,PRD001469,SLR00117,1,862.5,862.5
ORD0000065,PRD001148,SLR00508,1,368.57,368.57
ORD0000066,PRD000523,SLR00230,1,1213.05,1213.05
ORD0000066,PRD000693,SLR00356,2,1696.84,3393.68
ORD0000067,PRD000009,SLR00259,1,944.26,944.26
ORD0000067,PRD000930,SLR00328,1,277.44,277.44
ORD0000068,PRD000917,SLR00118,1,304.04,304.04
ORD0000069,PRD000905,SLR00525,1,158.79,158.79
